Electricity_Consumption,SQFT,Number_Workers,Building_Activity,Work_hours,Cooling_Days,Number_desktops,Wall_Construction_Material,Boiler,Own_Type,Climate_Zone
1749017,70000,100,8,168,69,126,1,1,1,3
43812,19250,5,13,119,777,1,5,2,5,2
183238,7500,28,5,60,2867,28,5,2,3,5
941766,154000,130,14,70,1537,400,1,1,10,3
418251,15000,8,18,168,579,3,1,1,2,7
968708,70000,20,16,168,3923,167,3,1,2,7
98040,13000,24,14,10,2301,5,1,2,6,5
7412020,200000,1100,8,90,4541,400,1,1,2,5
6511,6100,1,1,60,3171,2,1,2,2,5
10621487,1700000,1764,2,68,2810,1227,6,2,2,7
246095,20000,15,91,40,2117,30,2,2,2,4
43398,7400,0,91,168,1487,30,5,2,3,3
210284,30000,5,12,20,581,30,1,1,4,1
3630400,140000,250,2,168,2002,100,1,2,2,4
1576692,128000,110,14,55,3258,100,1,1,9,5
40739,3500,3,25,50,2019,2,8,2,3,4
503586,8500,12,6,98,2153,5,5,2,2,5
34709,3400,7,2,40,1316,4,1,2,3,2
9070536,305000,750,16,168,1049,1000,1,1,5,7
16231313,700000,800,4,60,811,800,6,2,9,2
659795,20750,1,91,168,752,30,3,2,2,2
1393550,148000,7,18,168,1947,4,1,1,1,3
74612386,1800000,7500,16,168,1224,3615,1,1,5,7
2381752,168000,180,2,60,1206,520,6,2,3,2
833639,43500,100,2,40,2710,50,1,1,2,4
53374,11250,3,12,18,1226,3,3,2,4,3
978930,73000,12,14,40,4216,13,3,2,9,5
962153,136000,109,14,60,332,135,1,1,10,2
1263091,52000,37,23,70,3394,29,2,2,3,5
5005493,700000,1500,2,64,59,750,1,1,1,3
1988248,200001,119,14,45,2554,120,1,1,10,4
1942322,128000,150,5,168,1782,100,2,2,2,4
8519487,350000,600,16,168,589,500,1,1,5,7
581865,50000,20,13,105,1595,20,1,2,3,3
1748,2000,1,26,22,2440,30,1,2,3,4
11944305,370000,667,16,168,1226,30,1,2,5,7
65974,7200,12,2,168,2878,7,5,2,3,5
127257,8800,20,25,48,1276,10,8,1,2,2
541948,30000,75,2,55,579,100,1,2,3,1
3869673,900000,16,18,168,1946,300,1,1,9,4
2142446,600000,200,5,60,1967,35,1,2,2,4
674586,60000,8,13,100,2483,6,5,2,2,4
1226627,80000,300,2,40,2478,300,1,2,9,4
1074613,136000,140,14,50,761,50,1,1,10,1
2778072,255000,40,18,168,1573,29,1,1,1,7
20430447,800000,18,11,132,2271,15,3,2,2,4
3351565,100000,115,8,76,4071,100,1,2,5,5
7074768,250000,150,16,168,2455,50,1,1,2,7
640201,89000,100,14,70,740,300,1,1,10,2
1202474,108000,175,2,70,2019,150,3,2,10,3
2407339,110000,150,2,55,4417,400,6,2,2,5
2473179,150000,500,2,37,1064,800,2,1,5,2
1023165,116000,60,14,45,1091,40,1,1,10,3
38200,12000,1,5,40,1833,1,5,2,3,3
3997699,205000,150,25,168,601,50,3,2,2,1
342884,78000,4,13,40,3075,8,3,1,5,5
21088056,800000,1000,8,168,3008,1000,1,2,5,5
295653,23500,66,2,50,1041,90,1,1,2,2
12285,4700,12,2,60,495,12,4,1,3,1
220683,100000,40,5,45,1974,14,1,2,2,4
522028,49000,16,18,168,2321,5,1,1,2,7
1322634,83000,110,23,55,1499,57,1,1,7,3
1078600,50000,34,23,90,945,27,1,2,2,2
86795,7500,8,15,84,69,3,3,2,1,1
65982,36000,1,5,20,2454,1,5,2,2,4
2400881,144000,100,2,65,1466,300,3,1,2,3
2253678,315000,150,14,70,1200,550,1,2,9,3
776526,22000,45,16,168,136,22,3,1,97,7
565719,95000,60,14,48,1494,45,5,1,5,3
58382,6700,7,14,32,681,7,4,1,6,2
60468,1800,1,6,85,4240,30,1,2,3,5
1486368,160000,60,17,168,3106,13,1,2,3,5
2127362,128000,100,7,168,1684,300,1,1,97,7
8453246,500001,1000,2,60,1520,100,2,2,2,3
3140814,126000,45,17,168,1352,8,1,2,2,3
4466673,600000,180,18,168,1505,150,5,2,10,7
7068302,300000,850,8,168,851,400,1,1,5,2
775915,75000,250,2,45,1194,125,1,2,2,3
753044,43500,128,2,40,3953,128,1,2,10,5
892417,80000,25,18,168,1246,11,1,2,2,7
4441830,365000,1100,8,55,1146,600,5,2,2,3
269743,14750,10,25,98,1021,11,1,2,3,1
76593,10000,4,13,112,1392,7,4,2,10,2
629888,32500,22,13,56,432,4,1,2,5,2
483380,60000,60,14,37,1397,10,1,1,10,2
12526,2150,3,5,40,260,30,4,2,2,2
888433,300000,70,5,65,747,35,2,2,1,2
68084,1500,2,15,168,3233,30,3,2,2,5
2900887,190000,200,8,80,67,50,1,2,2,3
93542,3000,3,2,100,1014,3,1,2,2,3
119659,7100,9,2,52,2004,3,1,2,2,3
197938,14250,40,7,168,1018,30,1,2,9,4
1852491,160000,170,5,168,1469,75,1,2,2,2
28768,10000,0,18,168,959,30,1,2,3,7
200510,3500,6,15,112,835,1,1,2,2,2
17176,1600,6,91,4,3178,30,4,2,9,5
439167,72000,165,14,40,1510,40,3,1,5,3
663586,210000,101,5,45,1471,50,5,2,3,3
4407,7700,2,26,50,1006,30,5,2,3,2
86665,6200,5,14,40,652,5,4,2,9,3
1250609,475000,50,5,80,801,30,2,2,2,4
4943610,500000,200,7,168,940,500,3,1,97,7
506915,50000,100,2,168,919,115,1,1,10,2
465015,45000,40,91,100,812,2,1,1,2,2
24937,22000,2,12,16,831,1,1,1,4,2
224009,49000,12,18,168,1530,5,1,2,2,7
11107941,410000,600,4,140,747,1000,2,2,9,2
134518,2250,8,15,94,1301,6,1,2,1,2
715466,64000,4,13,168,1951,6,5,2,5,3
2216326,63000,178,2,168,3845,175,3,2,2,5
300378,25000,4,25,63,3288,1,4,2,2,5
2684860,200000,5,18,168,358,7,1,1,2,7
66330,8500,25,2,60,3606,14,4,2,5,5
3663438,295000,50,18,168,645,25,1,1,3,7
55301,5000,7,25,58,446,4,1,2,6,4
64472,61000,40,5,70,1876,40,3,2,2,4
7346901,800000,500,24,84,1414,150,2,2,1,7
1563918,180000,300,14,40,1862,70,1,1,10,3
8226416,450000,700,16,168,1174,50,1,2,5,7
50814,38000,19,14,70,611,10,1,1,10,3
2610597,200001,45,14,140,603,365,1,1,5,7
281968,69000,40,14,40,2560,30,1,2,10,5
83263,13000,15,2,40,3245,12,2,2,2,5
15168528,500001,1152,16,168,5278,2000,1,1,5,7
20887,6000,3,5,40,2989,4,5,2,3,5
3325775,600000,1500,2,64,1043,1000,6,1,3,4
178703,35500,15,14,45,646,5,1,2,4,4
1398712,124000,35,18,168,2901,11,8,1,2,7
2592223,126000,20,18,168,3553,25,1,2,1,7
318803,79000,10,14,46,526,6,1,1,4,2
990117,225000,135,14,70,1221,20,1,1,10,3
20774154,500000,1100,2,72,900,700,6,2,2,4
6310193,600000,300,14,112,2182,200,1,1,5,7
1877,1500,2,13,0,988,30,4,2,5,2
761351,74000,58,14,43,2804,55,1,1,10,5
5701646,260000,150,18,168,1330,52,2,2,6,7
42353037,2100000,900,16,168,4355,500,1,2,5,7
841216,102000,100,14,35,1830,75,3,1,10,3
2024707,210000,40,14,88,1115,40,1,1,10,2
51850,8800,4,2,40,1394,6,1,2,9,2
1263573,152000,100,5,40,3318,30,3,2,2,4
73297,5000,3,13,56,1546,4,1,2,8,4
5957,3600,1,2,35,908,1,1,2,10,2
602985,120000,40,5,45,2424,15,1,2,3,4
629783,96000,44,14,45,1374,28,1,1,9,3
33491,1001,1,15,56,101,30,8,2,2,1
42488,5000,20,26,50,600,6,5,2,3,1
19096591,700000,1800,2,68,2355,1000,6,1,2,4
4413951,410000,1350,2,54,1151,1800,7,1,3,3
4811841,240000,300,2,168,2084,150,1,1,8,4
172283,30000,14,5,70,1623,12,1,2,1,4
110916,41500,15,14,60,393,10,3,1,4,1
178120,20250,0,5,168,906,30,5,2,10,3
647646,90000,0,18,168,893,100,1,2,5,2
4525387,1000000,80,5,50,1414,35,5,2,8,3
133067,9100,3,6,10,1710,1,5,2,1,3
155452,35500,15,14,70,973,5,1,1,10,4
34428,5000,1,12,4,575,30,4,2,4,1
695373,14000,2,5,63,892,30,3,2,2,4
86680,40000,7,12,58,492,2,1,2,4,2
1531068,48500,35,4,40,3282,32,1,2,9,4
2173900,152000,550,2,55,1645,500,8,2,2,3
392792,50000,25,26,38,1042,5,1,1,9,3
13971320,275000,1500,16,168,2435,400,1,2,2,7
97004,1600,1,6,112,1611,1,3,2,3,4
2155801,134000,20,18,168,3988,13,1,1,2,7
502702,15750,37,23,71,908,16,1,2,3,1
1402708,116000,0,5,168,2427,30,3,2,1,4
1701957,235000,500,2,60,1746,400,2,1,3,4
4508038,305000,50,18,168,959,8,6,2,2,7
461525,24750,15,14,50,1534,20,1,2,10,3
4995298,200001,500,2,60,2407,250,1,1,2,4
34694,2100,2,12,168,854,1,1,2,4,1
4905943,130000,300,2,74,1476,200,3,2,2,3
18408,12000,2,5,45,1134,2,1,2,2,3
27486659,1500000,2000,16,168,979,2000,1,1,5,7
2070352,200000,25,2,54,2164,30,1,2,2,4
63407,15000,3,91,24,352,3,5,1,9,2
786045,63000,18,14,60,2056,30,1,2,5,7
3055659,146000,100,7,70,1825,50,1,1,97,7
19294614,1000000,750,16,168,1100,999,2,2,4,7
4471590,250000,206,5,168,2362,100,2,2,2,4
937028,156000,75,14,45,278,33,1,1,10,3
33540,35000,2,26,25,2205,1,1,2,3,4
135754,32000,15,26,60,1156,18,3,2,2,3
5547256,330000,700,2,60,996,500,6,1,2,1
129739,4500,3,13,45,1162,2,3,2,10,4
276703,24750,60,2,69,1269,20,1,2,2,4
3452948,295000,125,14,45,1124,775,1,1,10,3
2222603,255000,200,13,40,603,50,1,2,9,1
112058,12000,10,13,56,1261,7,1,1,10,2
105679,10000,9,26,80,1656,15,1,2,3,3
54219,1300,2,2,40,1881,4,1,2,10,4
8946,80000,0,1,0,1693,30,1,2,5,3
1079462,360000,42,5,45,1637,15,3,2,2,3
2936466,150000,180,2,45,1891,10,1,2,2,3
1843408,116000,122,2,168,948,100,3,1,1,2
597965,53000,100,14,60,1506,200,1,2,9,3
84793,2500,12,15,65,4091,1,1,2,2,5
5192271,186000,400,4,50,1457,350,1,1,5,3
351516,28500,20,13,50,1268,20,3,1,10,3
3609995,156000,200,25,119,2360,75,3,2,2,4
69907,4000,2,2,40,727,7,3,2,10,2
117542,9500,1,13,45,1072,1,1,2,9,4
404445,60000,51,14,63,3663,47,1,2,4,5
17279857,600000,260,4,80,764,1000,1,1,5,2
3751,8800,0,5,168,1813,1,5,2,2,3
19507,5500,5,2,54,2990,12,1,2,3,5
1695151,180000,14,17,168,972,18,4,2,3,2
112141,6000,12,2,45,3523,12,1,2,3,5
511289,91000,75,14,66,1383,30,1,1,10,3
3788273,260000,350,14,70,1306,500,1,1,10,3
1135246,182000,504,14,60,627,60,1,1,10,2
685055,27000,1,13,90,1700,2,3,2,9,3
1126181,158000,450,2,45,982,150,3,1,10,3
359558,60000,70,2,40,1316,40,2,2,2,2
25932,2000,4,8,40,1409,5,1,2,3,3
16050017,900000,1200,24,92,687,500,2,1,3,7
5948710,500000,230,2,168,826,1200,6,2,1,2
1973722,144000,18,18,168,746,8,3,1,2,7
336999,8800,30,23,97,1090,10,3,1,3,2
742008,91000,80,14,60,1390,20,1,1,10,3
1453214,186000,35,5,7,2390,30,2,2,1,5
7780312,152000,400,16,168,698,300,1,1,5,7
10339073,700000,1200,2,50,1044,10,6,2,2,2
3840344,215000,168,23,46,2244,95,1,2,3,4
28501,5500,12,8,45,4756,10,1,2,3,5
4369933,250000,100,2,80,356,60,2,2,1,3
440754,7500,9,15,119,2477,1,1,2,3,4
81790,8500,5,25,112,1878,5,1,2,2,4
865602,57000,105,14,45,1404,200,1,1,10,2
3077632,98000,65,13,41,2005,50,1,1,9,4
463873,88000,40,14,60,277,25,2,2,4,4
408832,36000,5,18,168,1757,3,1,1,6,3
14371,4000,1,13,10,1934,30,1,2,10,3
9708523,320000,500,2,60,897,550,1,1,9,2
2306013,92000,300,2,40,718,250,4,2,2,2
227886,13000,3,25,50,3566,3,1,2,3,4
51484,46000,45,5,40,397,20,2,2,2,3
21831766,500001,1500,13,168,2232,50,3,2,10,4
6780294,260000,500,16,168,2997,150,1,1,97,7
4604826,320000,450,16,168,733,350,1,1,5,7
20589872,500001,2750,16,168,1482,1881,2,1,5,7
155101,27500,8,13,60,988,5,3,2,9,4
50327,5000,15,15,50,431,1,3,2,5,2
22680,4050,2,13,168,668,1,4,2,2,2
1947916,80000,100,17,168,1580,40,1,1,2,3
1214330,126000,225,5,60,946,120,3,2,2,3
407816,18000,25,23,55,2245,8,3,2,2,4
34546,1500,4,13,60,2173,30,1,2,3,4
2082990,55000,60,17,168,1478,70,1,1,5,3
273880,4500,2,15,140,1696,1,1,2,2,4
1520135,82000,100,2,168,1166,89,1,2,2,4
7007402,200000,326,8,90,2523,600,1,1,5,4
1203389,60000,70,14,60,1751,100,1,2,5,3
2873685,160000,40,18,168,2046,15,3,1,2,7
1624050,112000,75,13,94,1004,60,3,2,5,1
674478,46500,30,2,40,1299,30,2,2,3,4
118739,13250,9,2,50,1735,10,1,1,5,4
34183824,800000,750,16,168,1602,400,8,1,5,7
2962068,225000,450,2,168,962,400,1,1,2,2
3465195,305000,600,2,72,985,600,1,2,2,2
510243,40000,40,2,60,2010,40,1,2,2,4
76949,5000,6,13,50,3241,4,5,2,2,5
974290,130000,109,14,58,1055,190,3,1,10,2
3914419,250000,53,2,70,1440,100,1,1,5,3
6086852,285000,300,17,168,738,150,1,2,5,2
19771,16000,3,13,105,3201,3,5,2,2,5
195694,15250,16,2,50,393,20,1,1,2,2
1179977,310000,75,13,168,1138,50,1,2,9,3
3758807,320000,140,14,120,1643,350,1,1,9,7
102581,7200,10,2,50,2518,6,1,2,2,4
104598,12000,4,12,120,2605,3,1,2,4,4
3970,3300,2,5,0,831,30,3,2,2,2
1004641,194000,90,14,50,803,200,1,1,10,1
12193,2400,10,26,60,387,5,4,1,8,1
695373,2000,0,5,5,922,30,4,2,5,2
560456,46500,56,7,8,1185,80,1,1,97,7
161028,10000,10,8,65,1510,10,5,2,3,3
13312196,460000,655,2,60,895,350,2,2,2,1
117239,13500,52,2,40,2865,50,1,2,2,4
2871904,260000,125,14,50,1804,375,1,1,10,4
1627290,205000,119,14,50,2260,75,1,1,9,4
68239,14000,20,2,45,1907,30,1,2,2,3
2418628,182000,250,2,168,1408,40,1,1,9,3
487147,75000,20,13,70,704,33,1,1,10,1
5020271,600000,524,8,60,1390,100,6,2,5,3
18214530,1800000,2000,16,168,1008,400,1,2,5,7
210097,18250,15,14,45,1610,25,1,2,1,3
186672,7200,15,15,100,1470,30,1,2,3,3
60583,36000,4,5,40,1695,1,3,2,3,4
10682450,1700000,3000,2,60,1796,3615,2,1,1,7
1136178,152000,85,14,75,1016,10,1,1,9,2
2509927,188000,700,2,70,1381,900,2,1,2,4
13928,1700,5,8,40,364,9,1,2,2,2
33252,3200,6,5,40,2307,8,5,2,3,4
1403177,136000,62,12,51,2368,25,1,1,4,4
695373,12000,0,1,0,3723,30,3,2,3,5
213452,280000,110,5,76,1784,50,2,2,3,4
978501,87000,75,14,50,1964,210,1,1,10,3
120155,12250,90,2,50,1004,10,1,2,3,2
695373,3300,0,1,0,1874,30,4,2,3,4
2159077,144000,78,23,75,1029,46,1,2,2,2
18165,1400,2,12,70,3694,6,4,2,4,5
25679585,1700000,4500,2,168,1531,3615,2,1,8,7
781386,122000,50,14,50,3469,150,1,2,9,7
1106201,95000,60,14,40,1067,200,1,2,10,3
51666,20250,1,12,8,1478,30,1,1,4,2
216712,26000,3,25,56,482,5,3,2,3,2
91944,14750,5,25,50,713,5,1,2,2,1
1217418,55000,25,2,70,2287,40,1,1,4,3
7741174,700000,1000,24,73,737,60,1,2,2,7
9671565,265000,1250,16,168,1569,150,2,1,2,7
14010317,350000,105,4,84,1877,265,6,2,8,4
3429839,200000,62,18,168,1332,16,1,2,2,7
136983,17500,7,25,84,1171,5,3,2,1,4
690144,53000,6,18,168,1097,3,1,2,2,7
294449,17000,3,18,168,2991,30,1,2,2,5
2979995,285000,110,14,65,3417,174,1,1,9,5
700060,92000,150,14,100,2915,250,1,2,5,7
5421636,86000,200,8,18,1965,100,2,1,5,4
767096,96000,31,13,80,424,31,3,2,9,3
76261,11000,0,12,20,1949,30,1,2,4,4
36789,1100,2,2,54,2150,3,1,2,2,3
2061305,500001,450,5,60,999,30,1,1,8,2
669472,85000,80,5,60,1476,50,3,2,2,3
11644,2400,1,26,0,1716,1,4,2,10,2
37441,5000,2,25,50,1410,1,3,2,3,4
277375,19750,20,14,50,1553,20,1,2,10,4
6446438,126000,50,6,168,688,7,2,2,2,1
51403,4000,1,2,20,2033,2,4,2,2,3
128995,64000,25,2,9,1008,60,1,2,2,4
2330513,225000,200,14,93,781,150,1,1,5,2
30159,1300,3,2,50,534,2,4,2,3,2
1365435,100000,50,8,70,773,25,3,2,2,3
2463663,220000,850,8,60,73,400,6,1,2,3
944108,102000,120,26,40,1880,50,5,1,10,3
422318,94000,52,14,50,2171,20,3,2,10,3
37256,1800,6,6,122,1492,1,1,2,3,2
946113,99000,44,14,40,1519,300,3,1,10,3
497656,36500,25,2,60,347,10,1,1,10,2
48809,4500,12,14,60,3807,2,5,2,3,4
52198,2450,4,2,44,4125,2,1,2,5,5
3403877,365000,50,13,70,1235,20,1,1,6,4
48789,1600,3,15,75,1978,30,1,2,2,3
3141941,240000,70,18,168,1165,25,1,1,3,7
2451083,460000,2400,2,10,864,1000,2,2,9,2
92184,8400,5,15,40,470,2,4,1,5,1
7730254,470000,1200,2,168,2692,100,5,1,2,5
35710,5000,11,5,48,2102,4,3,1,2,4
255089,25500,15,7,40,2093,15,1,2,97,7
572147,130000,67,14,40,1646,270,2,1,10,3
247151,23500,60,2,60,758,60,3,2,2,2
5146276,220000,300,2,168,3111,150,2,1,2,4
12750,1700,1,26,45,3153,30,3,2,3,4
614102,53000,55,13,67,733,100,6,1,10,3
92407,7100,8,26,60,4684,4,1,2,3,5
735811,104000,15,18,168,1020,5,1,1,1,7
5530,2000,3,2,50,2003,3,1,2,2,4
4682276,280000,61,18,168,1409,15,3,1,2,7
16132,6200,5,2,50,1052,7,4,2,5,2
3060585,80000,250,16,168,537,25,1,1,5,7
1151222,70000,110,2,50,1147,50,1,2,2,3
687327,44500,20,23,55,1450,11,1,2,2,2
5054605,330000,75,91,168,1015,30,3,1,9,2
26414,3600,4,26,40,2216,30,5,2,8,4
447631,90000,20,5,168,1133,10,3,2,2,4
450049,116000,65,14,40,543,5,4,1,10,1
874882,200000,500,24,65,5618,150,3,2,2,7
18449629,500001,1000,16,168,1855,150,1,1,2,7
1560548,80000,370,8,86,979,50,1,2,3,3
126744,120000,20,5,40,577,6,3,2,3,1
9506591,700000,925,2,168,1427,750,1,1,2,3
1685502,120000,65,14,73,1398,50,1,1,10,3
471271,72000,50,14,8,1017,40,1,2,5,2
54947,35000,15,13,168,1047,1,1,1,5,2
132311,3000,1,6,168,2710,1,1,2,2,4
61956,3100,10,8,36,281,10,4,2,2,3
4691091,132000,110,16,168,2259,50,1,1,2,7
321129,30000,60,2,45,1802,30,1,2,2,3
392377,18000,3,18,168,4064,25,3,2,2,5
221013,116000,25,5,80,161,36,2,2,1,4
21283,4500,1,12,3,1565,30,4,2,4,2
3640261,250000,250,2,48,343,200,2,1,3,2
312306,18250,6,13,54,666,42,1,1,10,2
126165,18000,25,8,45,1806,25,1,2,5,4
30106,3600,3,26,50,3202,3,5,2,3,4
5108683,205000,150,25,168,3822,50,3,2,2,5
158354,38000,6,13,120,736,4,5,2,3,2
830246,64000,200,2,40,1111,179,2,2,2,4
33727,1800,0,1,4,1136,30,4,2,2,2
1333258,35000,12,15,40,850,2,3,2,10,3
1222647,134000,50,14,50,1309,60,3,1,10,3
4170142,198000,115,25,168,1941,75,3,2,3,3
572756,97000,97,14,60,1126,10,1,1,10,3
2261877,270000,0,1,0,1548,30,6,2,1,3
372141,65000,20,12,60,1216,12,1,1,4,2
108746,15000,15,14,50,1647,10,1,2,10,4
107080,2900,1,13,48,3818,30,3,2,10,5
4239581,178000,115,25,168,2364,50,3,2,2,4
462948,34000,55,5,65,2826,30,2,2,2,5
1643295,188000,40,14,95,1915,150,8,1,5,7
695373,128000,0,1,0,2503,30,1,2,1,4
76409,6500,10,2,40,217,7,1,2,10,1
1434038,70000,100,8,60,4273,30,3,2,3,5
925743,35000,2,18,168,765,30,1,2,2,7
303264,4650,10,15,105,1648,2,1,2,3,3
1407866,73000,40,8,168,1965,50,1,1,5,4
1188120,265000,147,14,58,1495,15,1,1,10,3
2914217,220000,90,14,77,906,100,4,2,9,7
69572,3500,10,8,65,1928,8,1,2,3,4
29217,5000,4,8,40,1595,2,4,2,2,2
2718717,350000,125,16,168,2141,150,3,1,97,7
1426664,250000,130,14,96,1052,330,1,1,10,2
78150,6000,30,7,40,1423,15,1,1,97,7
5998839,164000,200,91,168,2066,150,1,1,4,4
24185,5000,5,12,40,962,1,4,2,4,2
164813,5300,6,7,168,4588,3,1,2,10,5
17754,4500,9,2,50,3768,5,1,2,10,5
1219480,83000,35,2,80,1772,20,1,1,5,3
1072548,25000,8,6,98,2698,3,3,2,3,4
1506754,240000,130,14,70,1468,600,1,1,10,2
254903,57000,68,14,58,703,70,1,2,10,2
3385186,275000,400,16,168,1256,1000,1,2,3,7
42377,1500,3,25,100,1749,2,4,2,2,3
16224,4500,4,12,3,2241,30,1,2,4,4
661548,122000,8,5,50,1225,10,4,2,9,2
291578,210000,25,14,30,607,1,1,1,10,1
334402,120000,50,5,40,1234,50,2,2,3,3
195702,10250,4,18,168,1615,30,1,2,3,4
552288,255000,110,5,40,1150,30,2,2,2,4
695373,11750,0,5,112,561,30,3,2,3,1
2156726,600000,120,5,96,686,30,2,2,1,2
20907357,800000,1000,16,168,2343,1500,3,1,97,7
4759889,220000,450,2,51,3206,500,1,2,2,5
31300,3350,5,13,8,582,30,4,2,5,1
39207,1400,6,15,56,1922,1,4,2,10,3
89720,19250,8,13,63,2242,10,1,2,3,3
29726,9600,9,26,72,487,7,5,2,2,1
257334,14000,67,8,64,834,30,3,2,2,2
552753,53000,15,5,77,2036,12,1,1,3,3
47661,5001,2,13,24,1218,30,1,2,5,3
47687,2200,0,26,168,429,30,4,1,8,1
1036319,104000,15,18,168,955,30,1,1,6,2
58530,25000,1,13,56,1436,30,1,2,10,4
38904,4000,1,13,60,553,30,4,2,1,1
2530074,92000,300,8,65,2019,126,1,1,2,3
3185122,305000,250,14,60,1349,100,3,2,9,7
874603,55000,60,26,74,936,25,1,2,2,3
828208,124000,20,14,70,1730,282,1,2,5,7
368487,9100,2,6,116,972,30,4,2,2,2
973022,80000,15,13,10,848,8,3,1,10,2
7543818,800000,700,2,55,1778,30,1,2,8,3
1435047,172000,60,14,60,1683,180,3,1,10,3
3287524,350000,160,14,60,1580,25,1,1,10,3
354459,63000,136,2,168,1154,100,2,2,2,2
722118,90000,25,25,72,1084,6,3,2,2,2
695373,1400,0,1,0,765,30,3,2,10,2
3272977,205000,30,13,168,1053,20,1,2,3,3
3494295,230000,70,13,90,1639,200,1,2,5,3
159424,60000,60,26,50,2637,7,1,2,10,4
1143831,106000,142,14,55,1301,354,1,1,10,3
539298,17250,60,2,168,1855,75,1,2,9,4
142172,28000,40,2,40,1016,20,1,1,10,3
6036046,270000,150,16,168,846,400,3,1,2,7
577819,118000,75,5,40,1617,50,2,2,3,2
695373,1200,0,5,168,2964,30,5,2,2,5
626489,88000,120,14,60,1281,250,1,1,10,3
1700203,200001,108,14,50,1056,300,1,1,9,7
4365113,425000,246,14,45,2555,280,1,2,10,5
3203145,86000,100,13,45,3040,50,1,1,9,4
1491991,164000,125,14,100,1560,50,1,1,4,3
695744,140000,60,14,50,1669,60,1,1,9,3
324647,14250,19,23,75,1149,8,1,1,2,2
19805,3200,5,2,42,1615,6,1,2,2,2
1691244,425000,100,14,65,606,250,1,1,5,2
6045523,200001,150,25,168,2954,75,3,2,2,5
130428,29000,6,12,30,3021,3,1,1,4,4
214398,50000,3,12,35,1252,4,1,2,4,3
3365023,450000,120,5,132,1717,30,1,2,2,3
68300,10000,6,2,40,1753,6,1,2,3,4
40917,12000,1,12,50,1134,2,1,1,4,2
63612,2500,4,2,50,2529,2,1,2,3,5
6424936,120000,100,6,168,1049,25,3,2,2,3
3937123,405000,238,14,60,1183,600,1,1,10,3
1425116,40000,1,91,168,944,130,1,1,2,2
26591,6000,3,26,60,1072,2,1,2,3,3
2260891,260000,20,25,100,1409,20,3,1,1,3
2261856,215000,110,14,45,1763,200,1,2,9,3
71586,30000,4,12,15,3079,3,1,2,3,5
16945491,420000,500,16,168,4116,150,1,1,2,7
13231,6000,3,26,24,1115,30,1,2,3,3
1084860,144000,100,14,97,890,15,1,1,10,2
1456622,132000,90,2,70,1912,70,1,2,2,4
748906,182000,130,14,84,1446,200,1,1,10,3
1368558,160000,135,14,64,965,200,1,1,10,2
1753632,134000,100,14,55,2809,360,1,2,5,7
582399,95000,50,18,168,1961,5,1,1,2,7
640575,39000,60,2,168,463,40,3,1,2,1
2422434,120000,500,2,60,2042,414,2,2,2,3
78137,9000,9,5,4,1487,30,5,2,2,2
203166,60000,17,12,80,360,9,2,2,4,3
984535,35000,30,17,168,1235,15,1,1,2,2
256696,28500,9,7,168,533,6,1,2,10,1
418311,59000,75,2,70,1591,75,1,2,3,3
6959349,1000000,2750,2,65,968,800,1,1,2,4
3087351,97000,72,23,140,607,39,3,2,2,2
18665,3550,8,2,41,1487,10,1,2,2,3
332174,21000,10,14,68,1734,62,1,1,9,7
2337480,290000,125,2,50,1053,200,1,2,2,2
97953,4000,8,8,50,1493,10,5,2,3,4
5344380,320000,425,2,66,1514,495,2,2,2,3
28373,10500,10,5,168,657,10,1,1,2,2
4861826,365000,300,14,68,3435,360,1,1,10,5
752862,106000,50,14,70,1973,150,1,2,5,7
70947,21000,10,5,80,3386,3,5,2,2,5
109325,10750,35,5,45,858,30,5,2,2,3
610266,200000,9,18,168,2117,7,1,1,2,7
3078509,188000,115,25,168,287,50,3,2,3,2
65439,8000,4,13,8,2373,1,1,2,10,4
121584,11500,30,2,55,658,30,8,2,2,1
695373,10001,0,5,50,539,30,5,2,3,1
1820346,108000,61,23,57,2188,24,3,2,2,4
31960,2000,6,8,84,1192,1,3,2,3,2
4653262,194000,400,2,55,3040,430,1,2,3,4
1646591,49000,30,6,91,705,7,1,2,2,4
3129407,470000,800,2,50,859,30,1,2,2,2
21324,2100,7,8,32,2150,8,1,2,3,4
23008,8800,2,14,60,3828,2,4,2,10,5
12989,2500,1,26,10,1560,1,5,2,3,2
209478,35000,4,25,49,595,1,1,2,2,1
144813,8400,4,8,70,3906,5,1,2,3,5
103426,2600,10,15,100,1684,6,1,2,2,3
109391487,2100000,2200,18,168,4483,3615,6,2,2,7
19342,1850,2,13,48,1166,1,1,1,10,2
1036181,600000,20,24,68,1246,50,1,2,2,7
51258,12000,7,18,168,2150,30,1,2,3,7
2414940,76000,26,2,45,1547,50,3,1,9,3
1136045,87000,80,2,20,1933,250,1,2,9,3
10709,2600,0,5,0,1622,30,1,2,5,3
247796,21500,24,2,60,1973,20,1,2,10,4
4830705,186000,350,4,168,2940,250,3,1,9,5
397922,41000,108,2,48,565,15,1,1,2,2
2652217,230000,400,25,70,1024,20,3,1,2,2
2017440,110000,200,8,80,1259,200,3,2,2,4
2370517,400000,200,14,88,969,500,1,1,9,2
1184248,320000,150,11,60,1654,3,3,2,1,4
6098778,500000,800,2,40,1850,1000,3,2,10,4
28968,2000,1,15,72,602,30,1,2,3,1
2429559,102000,60,14,60,1906,292,3,1,6,4
202226,27000,13,2,45,4145,24,2,2,2,5
